time,z,wavelength,spectir
2015-09-17T20:12:00Z,-8000.0,spectir_555nm,0.022898817
2015-09-18T08:12:00Z,-8000.0,spectir_555nm,-0.0177239434
2015-09-18T14:06:00Z,-6337.0,spectir_555nm,-0.0177425691
2016-07-26T14:24:00Z,-4296.0,spectir_555nm,0.1529549987
2016-08-01T08:25:00Z,-3272.0,spectir_555nm,-0.0393174782
2016-09-30T08:09:00Z,-8000.0,spectir_555nm,-0.0340269472
2017-05-25T14:02:00Z,-8000.0,spectir_555nm,0.3618069904
2017-05-30T20:05:00Z,-5319.0,spectir_555nm,0.1343059804
2017-09-18T19:55:00Z,-8000.0,spectir_555nm,0.6024927846
2017-09-30T19:59:00Z,-7353.0,spectir_555nm,5.843219881
2017-10-05T19:59:00Z,-8000.0,spectir_555nm,8.5063509625
2018-06-21T14:09:00Z,-8000.0,spectir_555nm,0.0119452181
2018-07-07T08:12:00Z,-8000.0,spectir_555nm,-0.019429962
2019-06-29T02:19:00Z,-8000.0,spectir_555nm,0.0151220236
2019-06-30T02:20:00Z,-7349.0,spectir_555nm,0.3911983462
2019-07-03T08:03:00Z,-2262.0,spectir_555nm,-0.020436738
2019-07-21T20:03:00Z,-8000.0,spectir_555nm,9.9033403962
2020-09-14T20:12:00Z,-1217.0,spectir_555nm,2.4178610326
2020-09-19T20:12:00Z,-8000.0,spectir_555nm,1.0437282893
2015-09-17T20:12:00Z,-8000.0,spectir_620nm,0.0049578202
2015-09-18T08:12:00Z,-8000.0,spectir_620nm,0.0030266541
2015-09-18T14:06:00Z,-6337.0,spectir_620nm,0.0027460573
2016-07-26T14:24:00Z,-4296.0,spectir_620nm,0.010706578
2016-08-01T08:25:00Z,-3272.0,spectir_620nm,0.0105247205
2016-09-30T08:09:00Z,-8000.0,spectir_620nm,0.0127400759
2017-05-25T14:02:00Z,-8000.0,spectir_620nm,0.0116500589
2017-05-30T20:05:00Z,-5319.0,spectir_620nm,0.013257706
2017-09-18T19:55:00Z,-8000.0,spectir_620nm,0.0165966654
2017-09-30T19:59:00Z,-7353.0,spectir_620nm,0.1163767859
2017-10-05T19:59:00Z,-8000.0,spectir_620nm,0.1092395393
2018-06-21T14:09:00Z,-8000.0,spectir_620nm,-0.0161903083
2018-07-07T08:12:00Z,-8000.0,spectir_620nm,-0.0159901556
2019-06-29T02:19:00Z,-8000.0,spectir_620nm,0.0056748184
2019-06-30T02:20:00Z,-7349.0,spectir_620nm,0.0131551013
2019-07-03T08:03:00Z,-2262.0,spectir_620nm,0.0082838354
2019-07-21T20:03:00Z,-8000.0,spectir_620nm,0.4746043417
2020-09-14T20:12:00Z,-1217.0,spectir_620nm,0.0520790409
2020-09-19T20:12:00Z,-8000.0,spectir_620nm,0.0206156174
2015-09-17T20:12:00Z,-8000.0,spectir_683nm,-0.0072912521
2015-09-18T08:12:00Z,-8000.0,spectir_683nm,-0.0072912521
2015-09-18T14:06:00Z,-6337.0,spectir_683nm,-0.006968489
2016-07-26T14:24:00Z,-4296.0,spectir_683nm,-0.0118879254
2016-08-01T08:25:00Z,-3272.0,spectir_683nm,-0.01288968
2016-09-30T08:09:00Z,-8000.0,spectir_683nm,-0.0102779627
2017-05-25T14:02:00Z,-8000.0,spectir_683nm,0.0113885166
2017-05-30T20:05:00Z,-5319.0,spectir_683nm,0.0099023844
2017-09-18T19:55:00Z,-8000.0,spectir_683nm,0.011068716
2017-09-30T19:59:00Z,-7353.0,spectir_683nm,0.0294478443
2017-10-05T19:59:00Z,-8000.0,spectir_683nm,0.0245755881
2018-06-21T14:09:00Z,-8000.0,spectir_683nm,-0.0016291212
2018-07-07T08:12:00Z,-8000.0,spectir_683nm,0.0008670906
2019-06-29T02:19:00Z,-8000.0,spectir_683nm,-0.0078179403
2019-06-30T02:20:00Z,-7349.0,spectir_683nm,-0.0053049633
2019-07-03T08:03:00Z,-2262.0,spectir_683nm,-0.0068055179
2019-07-21T20:03:00Z,-8000.0,spectir_683nm,0.0631962581
2020-09-14T20:12:00Z,-1217.0,spectir_683nm,-0.0098252329
2020-09-19T20:12:00Z,-8000.0,spectir_683nm,-0.0076110267
